Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1649013059099,50,438,64,129,80,46,229,65,971
1649013059111,46,439,69,123,77,49,232,66,966
1649013059121,49,439,64,128,77,47,230,67,968
1649013059130,49,437,67,126,81,45,234,75,975
1649013059138,52,435,68,129,77,46,230,66,973
1649013059146,46,436,64,129,78,48,229,69,962
1649013059154,48,439,67,132,74,46,232,65,964
1649013059162,52,444,61,126,79,44,229,60,971
1649013059170,50,435,64,125,84,43,229,63,972
1649013059178,44,442,66,128,75,47,234,65,968
1649013059187,50,436,63,128,77,51,227,64,972
1649013059196,49,440,69,131,81,40,229,66,969
1649013059204,41,443,65,126,77,49,238,64,972
1649013059212,50,443,65,125,80,42,229,67,973
1649013059220,46,440,72,130,83,44,233,64,977
1649013059230,49,444,77,139,89,48,246,71,976
1649013059238,57,458,76,140,81,40,233,62,974
1649013059251,57,440,64,125,85,52,236,71,976
1649013059260,54,442,64,130,83,43,231,67,976
1649013059268,53,448,71,128,81,45,237,67,977
1649013059277,52,442,61,131,75,49,232,65,978
1649013059285,49,443,66,128,79,52,237,67,975
1649013059292,53,441,68,129,82,52,239,65,977
1649013059300,52,441,70,132,80,49,233,72,976
1649013059308,51,439,69,127,83,47,232,69,976
1649013059316,52,442,63,129,84,43,238,62,978
1649013059324,53,448,56,128,85,50,239,66,979
1649013059337,51,445,67,120,79,46,233,65,976
1649013059346,52,444,65,127,79,48,234,65,985
1649013059353,49,441,63,130,73,50,235,66,983
1649013059361,51,446,66,128,81,47,227,66,977
1649013059371,51,449,65,131,86,55,237,68,982
1649013059379,48,402,67,127,82,51,239,61,984
1649013059387,47,445,66,124,80,50,236,67,981
1649013059395,49,446,69,125,83,41,238,68,976
1649013059404,55,448,68,125,84,46,238,64,979
1649013059412,51,447,71,128,78,41,233,70,986
1649013059420,52,445,66,129,85,47,235,69,985
1649013059428,48,449,62,130,89,41,239,61,980
1649013059437,52,444,65,130,83,47,238,64,980
1649013059445,50,452,67,129,81,48,237,72,982
1649013059453,50,448,64,130,78,50,244,69,987
1649013059461,52,447,66,131,83,43,241,64,984
1649013059471,55,447,66,128,78,43,238,68,981
1649013059479,46,451,69,131,81,45,241,70,986
1649013059487,48,448,68,133,81,46,241,73,976
1649013059495,58,453,70,132,81,46,238,73,987
1649013059503,48,445,61,131,80,42,244,66,994
1649013059511,44,450,66,133,78,51,243,63,986
1649013059519,49,451,69,127,87,44,240,66,986
1649013059528,48,449,70,136,75,50,246,63,980
1649013059537,53,456,67,128,77,50,234,61,992
1649013059546,58,458,63,126,83,46,231,67,987
1649013059554,50,452,71,131,78,51,238,66,990
1649013059562,47,456,65,131,81,46,245,67,992
1649013059570,47,456,64,132,86,45,239,67,989
1649013059578,52,455,69,124,87,42,242,60,990
1649013059586,52,450,66,131,89,49,244,73,991
1649013059594,43,455,70,129,76,51,247,66,989
1649013059602,51,456,68,134,87,42,240,70,986
1649013059611,47,449,68,134,77,48,240,68,994
1649013059619,51,460,64,132,81,43,241,65,996
1649013059627,47,457,64,128,86,46,242,66,987
1649013059635,55,460,68,132,75,43,246,69,989
1649013059646,54,453,63,127,80,45,250,68,991
1649013059654,48,459,67,134,82,46,246,67,994
1649013059662,47,455,66,136,82,44,245,68,989
1649013059670,47,453,62,129,87,49,242,64,991
1649013059678,49,452,70,129,83,46,245,65,989
1649013059686,52,452,67,128,84,48,241,66,994
1649013059693,51,462,64,128,83,53,246,69,998
1649013059701,52,449,66,142,77,50,236,67,993
1649013059710,45,455,65,136,85,45,246,60,995
