Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1648746325101,79,131,91,74,79,45,167,91,717
1648746325115,63,139,100,57,79,51,150,78,711
1648746325126,67,139,99,61,78,51,151,75,709
1648746325134,63,138,99,62,77,57,155,79,708
1648746325145,63,137,100,65,77,49,153,75,713
1648746325153,57,140,91,64,76,54,156,81,716
1648746325160,66,144,98,67,77,57,153,72,714
1648746325171,64,143,95,61,79,55,155,76,711
1648746325181,70,141,98,58,86,55,157,79,714
1648746325189,62,139,92,61,88,55,149,83,715
1648746325198,67,136,95,63,80,51,158,78,717
1648746325206,60,146,100,60,83,54,155,76,720
1648746325215,62,138,96,63,78,56,154,82,718
1648746325223,59,143,94,64,79,49,153,84,714
1648746325233,64,136,106,64,76,51,157,75,718
1648746325242,65,136,100,67,77,49,157,78,714
1648746325250,66,133,99,62,77,55,158,79,716
1648746325263,62,142,100,64,79,49,158,78,718
1648746325271,63,142,99,66,80,54,157,80,716
1648746325279,65,144,99,66,83,54,153,77,720
1648746325287,59,145,100,64,77,49,164,78,712
1648746325295,63,136,99,65,85,50,157,80,724
1648746325303,62,143,102,66,76,50,154,76,714
1648746325310,60,147,101,62,78,57,155,81,720
1648746325320,64,142,96,68,77,56,155,78,716
1648746325329,65,137,95,61,77,56,155,76,716
1648746325338,62,138,95,65,77,50,158,76,722
1648746325349,62,139,105,64,80,50,161,72,721
1648746325360,63,130,90,65,95,46,162,88,713
1648746325368,73,158,89,74,91,45,156,88,727
1648746325376,66,137,89,71,96,44,171,76,721
1648746325384,61,156,87,59,88,66,147,88,732
1648746325395,61,143,93,66,76,52,154,80,710
1648746325488,67,139,100,63,82,56,160,76,724
1648746325496,63,143,95,61,78,54,164,74,715
1648746325504,63,142,99,61,78,53,163,78,720
1648746325512,60,140,101,64,84,49,160,77,720
1648746325520,61,146,99,63,78,54,161,79,720
1648746325527,59,149,97,61,77,49,163,79,721
1648746325536,65,142,95,66,83,56,161,73,720
1648746325543,58,143,103,70,81,51,161,76,722
1648746325554,63,146,90,61,82,55,165,70,728
1648746325564,56,142,108,57,84,65,161,71,718
1648746325573,52,160,104,54,95,57,151,87,729
1648746325581,59,151,107,55,79,64,153,78,741
1648746325589,65,129,103,74,70,66,152,90,727
1648746325597,57,133,105,68,92,50,155,89,714
1648746325605,69,140,101,79,72,54,177,75,719
1648746325616,64,139,97,69,77,58,157,80,718
1648746325692,65,139,95,66,83,52,159,79,721
1648746325700,62,140,99,72,81,53,168,82,723
1648746325708,64,142,103,66,81,54,167,79,721
1648746325715,65,140,99,63,82,54,161,77,722
1648746325723,62,147,96,61,84,55,158,76,722
1648746325731,61,147,96,64,81,52,160,80,721
1648746325741,64,141,97,65,80,54,167,79,715
1648746325751,62,147,95,64,85,55,157,75,727
1648746325762,57,144,98,63,82,54,166,76,720
1648746325770,63,146,94,67,80,54,166,76,724
1648746325778,61,145,96,62,80,55,163,74,726
1648746325786,59,147,97,62,82,50,163,74,723
1648746325794,61,145,95,66,79,56,168,81,721
1648746325802,61,143,98,71,81,51,162,77,722
1648746325810,60,142,94,68,81,53,165,78,725
1648746325819,60,140,98,69,82,52,166,80,724
1648746325872,60,142,103,65,85,47,163,80,732
1648746325881,57,143,105,67,79,46,163,77,722
1648746325888,61,148,98,63,80,56,161,76,727
1648746325896,61,141,96,68,81,49,162,73,727
1648746325904,62,144,98,69,82,54,169,81,724
1648746325912,60,147,103,66,82,53,164,82,721
1648746325921,63,146,98,64,76,50,163,79,727
1648746325931,65,147,96,69,85,59,165,87,722
1648746325940,63,148,100,68,77,54,168,80,722
1648746325949,61,139,96,67,81,61,173,76,719
1648746325960,63,148,95,67,87,52,162,80,724
1648746325971,66,148,96,63,81,52,164,76,721
1648746325981,64,152,96,65,82,52,172,81,719
1648746325993,62,151,94,72,80,50,159,73,725
1648746326004,63,143,97,63,84,51,166,81,733
1648746326081,68,141,99,70,82,52,164,76,730
1648746326090,61,151,100,66,76,52,166,70,727
1648746326098,59,147,100,68,79,54,168,79,728
1648746326106,57,146,99,70,82,50,168,77,727
1648746326114,59,148,99,68,77,52,168,77,725
1648746326121,60,147,99,66,79,55,171,77,727
1648746326129,63,145,94,70,84,51,169,71,724
1648746326138,59,147,98,69,79,50,161,74,724
1648746326148,64,146,97,68,81,55,168,82,725
1648746326159,59,148,94,65,82,52,164,76,727
1648746326169,71,154,98,72,81,50,149,92,730
1648746326178,76,147,104,68,95,47,172,87,726
1648746326186,75,136,107,63,69,49,167,87,728
1648746326194,52,151,104,62,98,39,183,76,727
1648746326202,66,160,88,76,94,43,182,70,734
1648746326212,64,127,97,66,74,53,169,76,724
1648746326704,62,155,93,68,82,53,173,78,733
1648746326715,58,151,93,68,81,53,170,82,738
1648746326723,59,153,96,69,76,52,170,78,734
1648746326730,61,153,97,70,80,53,170,76,736
1648746326738,60,151,93,69,75,53,173,77,739
1648746326746,56,153,98,71,85,50,171,76,742
