Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1649012801091,55,71,65,41,63,31,79,60,631
1649012801105,49,73,59,42,61,31,76,53,626
1649012801116,48,72,64,42,63,31,83,56,630
1649012801125,51,74,68,44,59,34,79,55,624
1649012801137,55,75,65,42,60,29,86,54,631
1649012801145,56,71,63,45,63,33,84,58,629
1649012801154,53,72,63,46,62,34,82,59,633
1649012801163,51,72,65,49,62,30,84,60,634
1649012801171,55,75,64,41,65,29,81,62,635
1649012801179,51,77,69,40,63,30,79,60,631
1649012801187,48,76,68,44,67,32,81,58,638
1649012801195,49,80,68,44,59,33,81,52,636
1649012801203,48,73,67,42,64,30,84,53,636
1649012801210,52,75,68,46,70,31,84,54,630
1649012801220,53,77,64,41,61,35,78,54,630
1649012801230,51,76,60,37,65,27,87,59,634
1649012801242,58,70,66,42,69,28,87,60,635
1649012801253,48,75,65,39,70,37,78,64,636
1649012801261,52,75,68,45,65,28,80,60,631
1649012801270,51,75,71,46,62,35,86,56,631
1649012801280,50,72,68,39,58,31,83,59,633
1649012801289,41,71,64,44,69,37,84,53,634
1649012801297,49,73,68,40,59,34,83,56,637
1649012801306,51,78,64,47,65,32,82,56,636
1649012801315,58,72,65,45,60,36,88,63,637
1649012801325,46,78,66,44,63,25,89,52,634
1649012801334,49,87,63,43,59,33,85,56,635
1649012801343,49,73,68,40,64,31,87,55,634
1649012801351,53,76,58,45,57,35,85,57,638
1649012801358,51,77,69,43,62,32,82,57,633
1649012801366,54,71,66,48,62,34,83,59,638
1649012801374,48,79,69,48,62,29,79,56,633
1649012801384,53,74,65,48,64,29,87,55,636
1649012801391,52,71,63,45,61,37,79,54,634
1649012801400,50,79,68,46,64,30,90,59,633
1649012801410,52,72,65,43,67,30,82,56,637
1649012801417,50,77,68,46,65,29,86,60,634
1649012801425,50,67,68,47,59,33,80,57,636
1649012801434,50,73,67,46,62,32,84,56,628
1649012801443,51,73,68,46,64,35,86,51,635
1649012801451,53,79,66,43,62,30,79,57,639
1649012801459,55,74,57,47,63,33,87,61,631
1649012801466,49,76,66,46,69,33,84,56,636
1649012801474,50,77,66,48,58,32,90,58,637
1649012801484,53,72,64,45,64,32,85,53,633
1649012801493,47,77,68,47,63,30,83,58,637
1649012801501,49,74,66,47,66,31,80,59,635
1649012801509,49,74,69,43,59,32,87,55,628
1649012801517,49,77,68,41,68,33,87,53,637
1649012801526,49,78,64,47,60,32,87,57,633
1649012801534,51,73,69,47,64,35,87,60,634
1649012801542,52,78,65,41,61,32,84,55,637
1649012801550,47,77,64,48,65,38,84,54,639
1649012801559,53,74,65,49,68,32,83,61,634
1649012801567,48,78,69,47,62,30,81,57,637
1649012801575,44,74,68,47,64,29,86,52,636
1649012801582,51,77,65,44,66,23,93,62,631
1649012801592,49,77,71,44,66,28,87,60,635
1649012801600,46,78,69,44,64,32,83,50,636
1649012801608,50,74,65,47,62,31,83,57,632
1649012801615,52,74,64,45,59,32,82,57,634
1649012801623,50,71,67,47,66,30,86,63,632
1649012801631,47,73,65,43,62,30,87,59,634
1649012801639,53,83,64,43,63,33,86,58,634
1649012801646,51,77,68,47,58,32,89,55,635
1649012801654,49,73,62,41,66,30,93,60,637
1649012801662,50,77,70,45,66,30,88,54,636
1649012801671,55,76,67,45,60,30,85,50,635
1649012801679,50,78,69,47,62,29,92,60,632
1649012801687,47,80,68,45,68,27,90,60,640
1649012801696,48,79,63,43,65,29,93,63,636
1649012801703,46,79,61,45,63,36,84,57,630
1649012801713,48,73,66,48,66,34,87,57,635
1649012801720,47,75,65,44,58,31,91,58,630
1649012801728,49,76,63,50,62,27,88,63,635
1649012801736,48,75,65,48,64,34,92,63,635
1649012801744,50,78,72,48,62,34,90,50,635
1649012801751,54,77,66,41,69,34,92,61,643
1649012801760,47,76,66,44,63,31,86,55,637
1649012801768,49,78,68,45,70,31,87,57,635
1649012801776,52,80,65,45,66,28,92,51,636
1649012801783,54,78,64,47,64,31,88,59,635
1649012801791,49,77,68,43,65,31,93,59,634
1649012801799,57,79,67,51,66,32,94,58,636
1649012801808,50,86,75,48,64,31,88,60,637
1649012801818,49,79,61,52,65,27,93,61,635
1649012801827,46,65,63,48,71,42,90,56,637
1649012801835,53,85,76,50,57,29,91,63,641
1649012801843,50,79,61,44,54,28,89,68,647
1649012801851,42,80,73,41,59,27,82,55,640
1649012801859,56,86,68,44,58,32,90,58,643
1649012801867,52,76,58,38,60,33,98,64,640
1649012801875,51,79,76,58,72,29,86,66,649
1649012801884,46,76,71,47,69,30,91,56,643
1649012801892,46,81,65,48,63,31,88,58,643
1649012801900,47,77,65,49,59,33,95,63,634
1649012801910,58,75,56,49,64,29,93,57,636
1649012801919,49,77,65,51,67,30,89,58,637
1649012801926,52,79,66,49,58,24,91,58,643
1649012801934,49,80,69,46,61,26,83,52,640
1649012801942,53,79,66,51,65,32,92,55,637
1649012801950,49,76,66,46,69,29,93,56,633
1649012801958,48,80,69,71,65,28,89,59,633
1649012801968,48,79,65,50,66,31,91,54,642
1649012801975,48,79,65,48,67,30,91,49,635
1649012801983,47,81,66,48,61,31,94,55,639
1649012801991,52,72,69,46,62,34,87,53,637
1649012801998,51,77,68,46,64,31,91,56,635
1649012802008,56,76,64,48,60,33,91,59,638
1649012802017,51,76,65,48,61,30,87,54,644
1649012802024,53,79,67,47,63,31,93,57,638
1649012802032,50,74,69,48,63,35,88,56,637
1649012802040,57,74,70,54,67,32,88,54,641
1649012802048,49,77,63,47,62,34,93,58,636
1649012802056,54,76,71,48,64,29,91,54,635
1649012802066,51,79,66,49,67,30,92,58,645
1649012802074,50,80,75,46,64,33,91,59,638
1649012802082,52,76,65,49,66,28,93,54,641
1649012802089,46,77,65,49,71,36,84,56,632
1649012802097,51,79,68,45,64,35,90,55,634
1649012802105,48,81,67,47,69,37,93,60,636
1649012802112,44,76,62,51,65,39,86,55,632
